#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  1.550597712E-02  1.374388356E+01  4.192087822E-01  1.031704566E+01  2.076540455E-03  1.182400204E-01  8.500603290E+00  2.004943275E-01  1.459606294E+00 -5.974511600E-01
  1.632332096E-02  1.446834475E+01  4.299567503E-01  1.058156130E+01  2.219428939E-03  1.203332592E-01  8.477993890E+00  2.219933237E-01  1.493036198E+00 -6.231508086E-01
  1.717148926E-02  1.522012751E+01  4.402805160E-01  1.083563699E+01  2.354405827E-03  1.219582994E-01  8.424458279E+00  2.447042565E-01  1.524488671E+00 -6.471570910E-01
  1.805163894E-02  1.600025730E+01  4.501884030E-01  1.107947760E+01  2.479759478E-03  1.230666098E-01  8.343678948E+00  2.685621736E-01  1.553990221E+00 -6.694942087E-01
  1.896496994E-02  1.680979770E+01  4.596917956E-01  1.131336329E+01  2.596130911E-03  1.236125879E-01  8.239440408E+00  2.934782918E-01  1.581606691E+00 -6.902418377E-01
  1.991272674E-02  1.764985177E+01  4.688043633E-01  1.153763048E+01  2.700864842E-03  1.235562935E-01  8.114979168E+00  3.193653836E-01  1.607397815E+00 -7.094678213E-01
  2.089620002E-02  1.852156351E+01  4.775411239E-01  1.175264878E+01  2.796223606E-03  1.228615787E-01  7.973589978E+00  3.461152714E-01  1.631448529E+00 -7.272860922E-01
  2.191672831E-02  1.942611934E+01  4.859182979E-01  1.195881738E+01  2.884870512E-03  1.215016440E-01  7.818213072E+00  3.736121976E-01  1.653830469E+00 -7.437903861E-01
  2.297569973E-02  2.036474963E+01  4.939534351E-01  1.215656819E+01  2.969209513E-03  1.194570783E-01  7.651431685E+00  4.017392935E-01  1.674569540E+00 -7.590408595E-01
  2.407455377E-02  2.133873030E+01  5.016654388E-01  1.234636644E+01  3.052191003E-03  1.167128629E-01  7.475527806E+00  4.303776394E-01  1.693625364E+00 -7.730728850E-01
  2.521478318E-02  2.234938446E+01  5.090744324E-01  1.252870739E+01  3.137569021E-03  1.132559482E-01  7.292530642E+00  4.594043718E-01  1.710883944E+00 -7.859098921E-01
  2.639793584E-02  2.339808408E+01  5.162013884E-01  1.270410717E+01  3.229443519E-03  1.090742714E-01  7.104276235E+00  4.886901275E-01  1.726168874E+00 -7.975780193E-01
  2.762561679E-02  2.448625182E+01  5.230674686E-01  1.287308661E+01  3.331135911E-03  1.041582375E-01  6.912489385E+00  5.180966564E-01  1.739273805E+00 -8.081191784E-01
  2.889949023E-02  2.561536275E+01  5.296930939E-01  1.303614826E+01  3.443906445E-03  9.850571204E-02  6.718870987E+00  5.474763382E-01  1.750012572E+00 -8.175980480E-01
  3.022128169E-02  2.678694631E+01  5.360969223E-01  1.319375133E+01  3.566883016E-03  9.213130655E-02  6.525107825E+00  5.766767902E-01  1.758270867E+00 -8.260979035E-01
  3.159278018E-02  2.800258821E+01  5.422952103E-01  1.334629589E+01  3.701064578E-03  8.507996880E-02  6.332590776E+00  6.055559895E-01  1.764021012E+00 -8.337007490E-01
  3.301584048E-02  2.926393246E+01  5.483021964E-01  1.349413237E+01  3.851624413E-03  7.744869375E-02  6.141987029E+00  6.339831114E-01  1.767269861E+00 -8.404610583E-01
  3.449238544E-02  3.057268340E+01  5.541346940E-01  1.363767455E+01  4.015278729E-03  6.936634092E-02  5.952029790E+00  6.618226359E-01  1.767978599E+00 -8.463868444E-01
  3.602440846E-02  3.193060788E+01  5.598050286E-01  1.377722578E+01  4.205045925E-03  6.102408789E-02  5.762440076E+00  6.889903380E-01  1.766181413E+00 -8.515637336E-01
  3.761397589E-02  3.333953745E+01  5.653229327E-01  1.391302558E+01  4.405450220E-03  5.264533889E-02  5.575713491E+00  7.153217432E-01  1.762133423E+00 -8.560970634E-01
  3.926322970E-02  3.480137066E+01  5.706995518E-01  1.404534825E+01  4.607756783E-03  4.441944298E-02  5.393640158E+00  7.406969995E-01  1.756046599E+00 -8.600493382E-01
  4.097439007E-02  3.631807540E+01  5.759465675E-01  1.417448128E+01  4.806705845E-03  3.649327454E-02  5.217371275E+00  7.650269010E-01  1.748050590E+00 -8.634713413E-01
  4.274975816E-02  3.789169131E+01  5.810753975E-01  1.430070568E+01  4.998121245E-03  2.896686460E-02  5.047513647E+00  7.882387219E-01  1.738190181E+00 -8.664227791E-01
  4.459171893E-02  3.952433233E+01  5.860966150E-01  1.442428164E+01  5.178067594E-03  2.189497100E-02  4.884232232E+00  8.102645513E-01  1.726469632E+00 -8.689783093E-01
  4.650274407E-02  4.121818927E+01  5.910197417E-01  1.454544352E+01  5.343972909E-03  1.529632092E-02  4.727339061E+00  8.310352195E-01  1.712942792E+00 -8.712174128E-01
  4.848539500E-02  4.297553248E+01  5.958535432E-01  1.466440704E+01  5.497411637E-03  9.171549161E-03  4.576354141E+00  8.504826417E-01  1.697823506E+00 -8.732023504E-01
  5.054232598E-02  4.479871457E+01  6.006068621E-01  1.478138981E+01  5.646732123E-03  3.529204277E-03  4.430548955E+00  8.685518445E-01  1.681545474E+00 -8.749592692E-01
  5.267628729E-02  4.669017330E+01  6.052898177E-01  1.489664090E+01  5.804921773E-03 -1.583977518E-03  4.289039956E+00  8.852200786E-01  1.664622344E+00 -8.764960683E-01
  5.489012856E-02  4.865243446E+01  6.099148087E-01  1.501046543E+01  5.973302155E-03 -6.057876241E-03  4.151110035E+00  9.005127312E-01  1.647029867E+00 -8.779207059E-01
  5.718680212E-02  5.068811488E+01  6.145021102E-01  1.512336239E+01  6.207817524E-03 -9.628908955E-03  4.018724795E+00  9.145817968E-01  1.628697429E+00 -8.785977522E-01
  5.956936657E-02  5.279992557E+01  6.190469976E-01  1.523521552E+01  6.467758874E-03 -1.210521923E-02  3.889625204E+00  9.272829801E-01  1.609211632E+00 -8.792346093E-01
  6.204099027E-02  5.499067486E+01  6.235480993E-01  1.534599104E+01  6.762812978E-03 -1.330044071E-02  3.766349025E+00  9.385475304E-01  1.589281750E+00 -8.794662269E-01
  6.460495514E-02  5.726327171E+01  6.280048390E-01  1.545567478E+01  7.093681326E-03 -1.315081100E-02  3.650364077E+00  9.482917319E-01  1.570012297E+00 -8.790471625E-01
  6.726466044E-02  5.962072907E+01  6.324189586E-01  1.556430960E+01  7.450120355E-03 -1.169268188E-02  3.541822196E+00  9.564395159E-01  1.552408102E+00 -8.779449974E-01
  7.002362667E-02  6.206616739E+01  6.367974616E-01  1.567206788E+01  7.826467834E-03 -9.015451519E-03  3.440106151E+00  9.629748254E-01  1.537138832E+00 -8.761835860E-01
  7.288549959E-02  6.460281812E+01  6.411539184E-01  1.577928358E+01  8.230865528E-03 -5.220481487E-03  3.344272694E+00  9.679816917E-01  1.524386963E+00 -8.737375462E-01
  7.585405442E-02  6.723402747E+01  6.455073222E-01  1.588642414E+01  8.685219314E-03 -3.958559618E-04  3.253366664E+00  9.716617297E-01  1.513830565E+00 -8.705022225E-01
